Uuid,Exchange,TimeStamp,OrderType,Limit,Quantity,QuantityRemaining,Commission,Price,PricePerUnit,IsConditional,Condition,ConditionTarget,ImmediateOrCancel,Closed
c2821ef9-3731-4589-8eed-b3e16e60ca44,BTC-WAVES,5/22/2017 11:16:45 AM,LIMIT_SELL,0.00088100,2600.00000000,0.00000000,0.00572648,2.29059998,0.00088100,False,,0.00000000,False,5/22/2017 11:22:49 AM
3b96d29d-e4bd-4027-9954-75b7ffb2d68d,BTC-XVG,7/11/2017 5:41:42 AM,LIMIT_BUY,0.00000106,846933.96226415,0.00000000,0.00224436,0.89774998,0.00000106,False,,0.00000000,False,7/11/2017 5:41:43 AM
b8f9ab3a-e9e4-4794-a280-2143cca6e25a,BTC-XVG,7/11/2017 5:43:13 AM,LIMIT_BUY,0.00000106,470518.86792453,0.00000000,0.00124686,0.49874999,0.00000106,False,,0.00000000,False,7/11/2017 5:43:13 AM
3b89bcfd-035f-409d-9c39-da425c86aeda,BTC-WAVES,7/30/2017 7:08:05 AM,LIMIT_SELL,0.00108600,2661.51513171,0.00000000,0.00722599,2.89040540,0.00108600,False,,0.00000000,False,7/30/2017 9:39:56 AM
b915112d-3854-4ed4-823d-f9eef0eb06f5,BTC-STRAT,8/1/2017 10:20:04 AM,LIMIT_BUY,0.00186020,1867.74567221,674.62127831,0.00554862,2.21944998,0.00186020,False,,0.00000000,False,8/1/2017 10:24:17 AM
3a221143-4e42-435f-a14c-400d784ab21a,BTC-STRAT,8/1/2017 10:28:36 AM,LIMIT_BUY,0.00187600,668.94690616,402.83164050,0.00124804,0.49923221,0.00187600,False,,0.00000000,False,8/1/2017 10:36:07 AM
d4c8b28d-d7fe-425f-a052-586f4cf289a0,BTC-STRAT,8/1/2017 10:37:01 AM,LIMIT_BUY,0.00187596,402.84192977,0.00000000,0.00188928,0.75571534,0.00187596,False,,0.00000000,False,8/1/2017 10:37:12 AM
4f17ae30-311d-4e88-a8c6-0946df6bb064,ETH-NEO,8/5/2017 11:29:55 AM,LIMIT_BUY,0.04760000,369.96431568,0.00000000,0.04402574,17.61030142,0.04760000,False,,0.00000000,False,8/5/2017 11:30:53 AM
9c2b08ad-9ad6-4149-a04c-8ecf9f7c2f41,BTC-NEO,8/8/2017 5:47:06 AM,LIMIT_BUY,0.00558666,357.10066480,0.00000000,0.00498748,1.99499999,0.00558666,False,,0.00000000,False,8/8/2017 5:47:17 AM
b2718ce8-adaf-4ad1-b903-6cb7ce692177,BTC-XVG,8/8/2017 5:41:58 AM,LIMIT_SELL,0.00000095,1317452.83018868,0.00000000,0.00312891,1.25158016,0.00000095,False,,0.00000000,False,8/8/2017 5:49:50 AM
c229b3dd-67f0-45bc-b6e2-d48e29b9dd85,BTC-CLOAK,8/25/2017 9:42:45 AM,LIMIT_BUY,0.00119400,250.62814070,244.98723319,0.00001683,0.00673524,0.00119400,False,,0.00000000,False,8/25/2017 9:49:57 AM
01470bd2-308f-472b-9b9c-4ce2113903da,BTC-CLOAK,8/25/2017 9:51:01 AM,LIMIT_BUY,0.00118900,164.84110169,162.68198741,0.00000641,0.00256718,0.00118900,False,,0.00000000,False,8/25/2017 10:03:40 AM
c7ff2d89-91d5-45e6-b2b0-1aae180f9edf,BTC-CLOAK,8/25/2017 10:10:49 AM,LIMIT_BUY,0.00120800,80.00000000,0.00000000,0.00024160,0.09664000,0.00120800,False,,0.00000000,False,8/25/2017 10:11:08 AM
e2915334-f34c-45d9-af9b-c5a8272f6128,BTC-CLOAK,8/25/2017 10:19:29 AM,LIMIT_BUY,0.00120980,160.00000000,0.00000000,0.00048392,0.19356800,0.00120980,False,,0.00000000,False,8/25/2017 10:19:29 AM
5851a3e3-be3c-4f6b-8e03-5913b67ebba1,BTC-WAVES,8/25/2017 1:46:28 PM,LIMIT_BUY,0.00121500,778.46817006,0.00000000,0.00236459,0.94583882,0.00121500,False,,0.00000000,False,8/25/2017 1:46:28 PM
afca37f4-ed67-4a0a-acf7-6bd6d0fee98a,BTC-STRAT,8/26/2017 5:51:26 PM,LIMIT_SELL,0.00143597,698.13436214,0.00000000,0.00250623,1.00249997,0.00143597,False,,0.00000000,False,8/26/2017 5:55:02 PM
