DateUTC,Amount,Symbol,Balance,Type,Pair,FeeSymbol,FeeAmount,Comment
2017-12-01 14:42:21,0.01,USD,0.06,costsNothing,,,,Reimbursed excess for order #5108396270
2017-12-01 14:42:21,0.06683078,ZEC,0.06683078,buy,ZEC/USD,USD,0,Bought 0.06683078 ZEC at 335.4 USD
2017-12-01 14:41:51,-22.42,USD,0.05,buy,,,,Buy Order #5108396270
2017-11-26 17:25:43,0.01,USD,22.47,costsNothing,,,,Reimbursed excess for order #5076103806
2017-11-26 17:25:43,0.02173929,BTC,0.09694814,buy,BTC/USD,USD,0,Bought 0.02173929 BTC at 9384.8499 USD
2017-11-26 17:25:43,0.01,USD,22.46,costsNothing,,,,Reimbursed excess for order #5076106454
2017-11-26 17:25:43,0.01033507,BTC,0.07520885,buy,BTC/USD,USD,0,Bought 0.01033507 BTC at 9414.9069 USD
2017-11-26 17:25:15,0.01,USD,22.45,costsNothing,,,,Reimbursed excess for order #5076107018
2017-11-26 17:25:15,0.01726116,BTC,0.06487378,buy,BTC/USD,USD,0,Bought 0.01726116 BTC at 9443.6074 USD
2017-11-26 17:13:34,-163.01,USD,22.44,buy,,,,Buy Order #5076107018
2017-11-26 17:13:23,-97.31,USD,185.45,buy,,,,Buy Order #5076106454
2017-11-26 17:12:45,-204.02,USD,282.76,buy,,,,Buy Order #5076103806
2017-11-26 13:06:01,0.01,USD,486.78,costsNothing,,,,Reimbursed excess for order #5075113270
2017-11-26 13:06:01,0.01571427,BTC,0.04761262,buy,BTC/USD,USD,0,Bought 0.01571427 BTC at 9031 USD
2017-11-26 13:06:01,0.01,USD,486.77,costsNothing,,,,Reimbursed excess for order #5075116437
2017-11-26 13:06:01,0.03142854,BTC,0.03189835,buy,BTC/USD,USD,0,Bought 0.03142854 BTC at 9031 USD
2017-11-26 12:33:29,-283.84,USD,486.76,buy,,,,Buy Order #5075116437
2017-11-26 12:32:26,-141.92,USD,770.60,buy,,,,Buy Order #5075113270
2017-11-26 12:24:59,-0.10000000,BTC,0.00046981,sell,,,,Sell Order #5075089490
2017-11-26 12:24:59,774.95,USD,912.52,sell,BTC/USD,USD,1.55,Sold 0.08573423 BTC at 9057.0597 USD
2017-11-26 12:24:59,129.00,USD,137.57,sell,BTC/USD,USD,0.26,Sold 0.01426442 BTC at 9061.7048 USD
2017-11-24 00:42:24,-1499.99,USD,8.57,buy,,,,Buy Order #5062739061
2017-11-24 00:42:24,0.49673100,ETH,4.61942700,buy,ETH/USD,USD,0.41,Bought 0.49673100 ETH at 413.60411559 USD
2017-11-24 00:42:24,3.12269600,ETH,4.12269600,buy,ETH/USD,USD,2.59,Bought 3.12269600 ETH at 413.60411558 USD
2017-11-22 12:29:24,1.00000000,ETH,1.00000000,buy,ETH/USD,USD,0,Bought 1.00000000 ETH at 367.98 USD
2017-11-22 08:32:17,-367.98,USD,1508.56,buy,,,,Buy Order #5053221815
2017-11-19 09:29:41,-0.18418907,BTC,0.00000000,sell,,,,Sell Order #5036037454
2017-11-19 09:29:41,1444.65,USD,1876.54,sell,BTC/USD,USD,2.89,Sold 0.18418883 BTC at 7859.0001 USD
2017-11-19 08:27:44,-0.03550000,BTC,0.00001654,sell,,,,Sell Order #5035868859
2017-11-19 08:27:44,276.26,USD,431.89,sell,BTC/USD,USD,0.56,Sold 0.03549885 BTC at 7797.9999 USD
2017-11-19 08:26:22,-0.02000000,BTC,0.03551654,sell,,,,Sell Order #5035865975
2017-11-19 08:26:22,77.78,USD,155.63,sell,BTC/USD,USD,0.16,Sold 0.00999487 BTC at 7797.9999 USD
2017-11-19 08:26:22,77.85,USD,77.85,sell,BTC/USD,USD,0.16,Sold 0.01000385 BTC at 7797.9999 USD
