DateUTC,Amount,Symbol,Balance,Type,Pair,FeeSymbol,FeeAmount,Comment
11/26/17 05:12 PM,-204.02,USD,282.76,buy,,,,Buy Order #5076103806
11/26/17 05:25 PM,0.02173929,BTC,0.09694814,buy,BTC/USD,USD,0,Bought 0.02173929 BTC at 9384.8499 USD
12/01/17 02:41 PM,-22.42,USD,0.05,buy,,,,Buy Order #5108396270
12/01/17 02:42 PM,0.06683078,ZEC,0.06683078,buy,ZEC/USD,USD,0,Bought 0.06683078 ZEC at 335.4 USD
11/19/17 08:26 AM,-0.02,BTC,0.03551654,sell,,,,Sell Order #5035865975
11/19/17 08:26 AM,77.78,USD,155.63,sell,BTC/USD,USD,0.16,Sold 0.00999487 BTC at 7797.9999 USD
11/19/17 08:26 AM,77.85,USD,77.85,sell,BTC/USD,USD,0.16,Sold 0.01000385 BTC at 7797.9999 USD
11/19/17 08:27 AM,-0.0355,BTC,1.654E-05,sell,,,,Sell Order #5035868859
11/19/17 08:27 AM,276.26,USD,431.89,sell,BTC/USD,USD,0.56,Sold 0.03549885 BTC at 7797.9999 USD
11/19/17 09:29 AM,-0.18418907,BTC,0,sell,,,,Sell Order #5036037454
11/19/17 09:29 AM,1444.65,USD,1876.54,sell,BTC/USD,USD,2.89,Sold 0.18418883 BTC at 7859.0001 USD
11/22/17 08:32 AM,-367.98,USD,1508.56,buy,,,,Buy Order #5053221815
11/22/17 12:29 PM,1,ETH,1,buy,ETH/USD,USD,0,Bought 1.00000000 ETH at 367.98 USD
11/24/17 12:42 AM,-1499.99,USD,8.57,buy,,,,Buy Order #5062739061
11/24/17 12:42 AM,0.496731,ETH,4.619427,buy,ETH/USD,USD,0.41,Bought 0.49673100 ETH at 413.60411559 USD
11/24/17 12:42 AM,3.122696,ETH,4.122696,buy,ETH/USD,USD,2.59,Bought 3.12269600 ETH at 413.60411558 USD
11/26/17 12:24 PM,-0.1,BTC,0.00046981,sell,,,,Sell Order #5075089490
11/26/17 12:24 PM,774.95,USD,912.52,sell,BTC/USD,USD,1.55,Sold 0.08573423 BTC at 9057.0597 USD
11/26/17 12:24 PM,129,USD,137.57,sell,BTC/USD,USD,0.26,Sold 0.01426442 BTC at 9061.7048 USD
11/26/17 12:32 PM,-141.92,USD,770.6,buy,,,,Buy Order #5075113270
11/26/17 01:06 PM,0.01571427,BTC,0.04761262,buy,BTC/USD,USD,0,Bought 0.01571427 BTC at 9031 USD
11/26/17 12:33 PM,-283.84,USD,486.76,buy,,,,Buy Order #5075116437
11/26/17 01:06 PM,0.03142854,BTC,0.03189835,buy,BTC/USD,USD,0,Bought 0.03142854 BTC at 9031 USD
11/26/17 05:25 PM,0.01033507,BTC,0.07520885,buy,BTC/USD,USD,0,Bought 0.01033507 BTC at 9414.9069 USD
11/26/17 05:13 PM,-97.31,USD,185.45,buy,,,,Buy Order #5076106454
11/26/17 05:13 PM,-163.01,USD,22.44,buy,,,,Buy Order #5076107018
11/26/17 05:25 PM,0.01726116,BTC,0.06487378,buy,BTC/USD,USD,0,Bought 0.01726116 BTC at 9443.6074 USD
11/26/17 01:06 PM,0.01,USD,486.78,costsNothing,,,,Reimbursed excess for order #5075113270
11/26/17 01:06 PM,0.01,USD,486.77,costsNothing,,,,Reimbursed excess for order #5075116437
11/26/17 05:25 PM,0.01,USD,22.45,costsNothing,,,,Reimbursed excess for order #5076107018
11/26/17 05:25 PM,0.01,USD,22.47,costsNothing,,,,Reimbursed excess for order #5076103806
11/26/17 05:25 PM,0.01,USD,22.46,costsNothing,,,,Reimbursed excess for order #5076106454
12/01/17 02:42 PM,0.01,USD,0.06,costsNothing,,,,Reimbursed excess for order #5108396270
