DATE,TYPE,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID
Thu Aug 03 2017 23:09:27 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.09,REP,0x526ec5d018ad320b650f0a15edacc25e28f0cbc0cc47868ff0aeb92da079c1f8,https://etherscan.io/tx/0x526ec5d018ad320b650f0a15edacc25e28f0cbc0cc47868ff0aeb92da079c1f8,
Thu Aug 03 2017 23:54:37 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.99,REP,0x08490af6171dfdb9454254d85ee7a3616e150427fd26fd0e1f204689a54be790,https://etherscan.io/tx/0x08490af6171dfdb9454254d85ee7a3616e150427fd26fd0e1f204689a54be790,
Fri Aug 04 2017 00:08:13 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,19.99,REP,0x8f561219136c4744ec1096cc83a096e6ee5b73107cf74a5ff8f6479c1891270e,https://etherscan.io/tx/0x8f561219136c4744ec1096cc83a096e6ee5b73107cf74a5ff8f6479c1891270e,
Fri Aug 04 2017 00:21:53 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,29.99,REP,0x75148e1b24cc6bdb9b2afb30fb759149e6527babe6916134d399a37f9c3867fa,https://etherscan.io/tx/0x75148e1b24cc6bdb9b2afb30fb759149e6527babe6916134d399a37f9c3867fa,
Fri Aug 04 2017 00:35:15 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,33.99,REP,0xfc7c9386a153d701411dc1f79cf01de6987a4743f56f2f0ce888d48a89521266,https://etherscan.io/tx/0xfc7c9386a153d701411dc1f79cf01de6987a4743f56f2f0ce888d48a89521266,
Fri Aug 04 2017 00:48:07 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,19.99,REP,0x65aa4f8900accb63cc615674f586a1ca976dce643e42ec40cfbd4563b0a162fa,https://etherscan.io/tx/0x65aa4f8900accb63cc615674f586a1ca976dce643e42ec40cfbd4563b0a162fa,
Fri Aug 04 2017 07:56:28 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.005,ETH,0x14ab2bc001396845385e4057b5b96fa14af91b42f7c2ceb4b33a3f5ef58f8b82,https://etherscan.io/tx/0x14ab2bc001396845385e4057b5b96fa14af91b42f7c2ceb4b33a3f5ef58f8b82,
Fri Aug 04 2017 08:02:08 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.495,ETH,0xd33948752355ac9a7c688941e5098fdf47da45fffab43b32aafeca813e490e32,https://etherscan.io/tx/0xd33948752355ac9a7c688941e5098fdf47da45fffab43b32aafeca813e490e32,
Fri Aug 04 2017 08:18:24 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,9.9,GNT,0x8391e579c50c4d0b8751cc821418837bcae63c9e864a4c95eca89af439632a22,https://etherscan.io/tx/0x8391e579c50c4d0b8751cc821418837bcae63c9e864a4c95eca89af439632a22,
Sat Aug 05 2017 07:08:58 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.005,ETH,0x7d02bb578a5046f607257a58fdddee2e22af4b48e4c09238c4a8957aafddbd7b,https://etherscan.io/tx/0x7d02bb578a5046f607257a58fdddee2e22af4b48e4c09238c4a8957aafddbd7b,
Sat Aug 05 2017 07:11:45 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0x9186ffc24721a7a35409c3bdd2729f5b65c834203ddf483f581b80e38cc104f1,https://etherscan.io/tx/0x9186ffc24721a7a35409c3bdd2729f5b65c834203ddf483f581b80e38cc104f1,
Sat Aug 05 2017 07:15:24 GMT+0300 (שעון קיץ ירושלים),deposit,,,,,,,0.995,ETH,0xbebc1411e6c5b82105b96184504fcee11e4b31796a74aada59f1ed881a099312,https://etherscan.io/tx/0xbebc1411e6c5b82105b96184504fcee11e4b31796a74aada59f1ed881a099312,
