transactionId,transactionHash,date,market,makerOrTaker,buyOrSell,tokenAmount,etherAmount,usdValue,fee,gasFee,feesPaidIn
5768626,0x03ba17c896dab8a9b64c7ee86b22f5bf88b01c90744792aaa1facd949c99e19c,2020-07-26 08:22:46,AUC/ETH,maker,sell,2000,0.9,272.96,0.0009,N/A,ETH
5768625,0xbbf70443fb9a06cd7fe67352b6f1d82566b02356efea130c974f56a1ee2c9a06,2020-07-26 08:22:39,AUC/ETH,maker,sell,1800,0.80982,245.60,0.00080982,N/A,ETH
5768624,0xc65813f1f9b604f3c1f449bb81e4536a54e21b60925f886d2b5b411a7124aa02,2020-07-26 08:22:33,AUC/ETH,maker,sell,1100,0.4939,149.79,0.0004939,N/A,ETH
5768623,0xbcb4325460e116e01e95a648c943044ac240ce2bb42b7308ba1081484356f95e,2020-07-26 08:22:25,AUC/ETH,maker,sell,1700,0.7497,227.36,0.0007497,N/A,ETH
5768622,0x9fe85ba42d5b4c8a0976cef9e39eb716fbc59ec769277a14b37f4b19367afa93,2020-07-26 08:22:18,AUC/ETH,maker,sell,800,0.35192,106.73,0.00035192,N/A,ETH
5768617,0x71aa44d5d0959394b047d614dafa01b30fa572a597bf736147eda96360a19457,2020-07-26 08:21:48,AUC/ETH,maker,sell,1291.02665355,0.56676070,171.89,0.000566760700910452,N/A,ETH
5766924,0x618eb4a1a59305ccfc2edc9197970f1286d6accb3b2d9898d774a2b8012fa69e,2020-07-25 23:29:27,AUC/ETH,maker,sell,208.97334645,0.0917393,27.57,0.000091739299089548,N/A,ETH
5755962,0xab80fdbe829ee3bc9bf199ccbfcd5e5f828299cd610eaf1dba4342b4e4311bd0,2020-07-23 23:09:21,AUC/ETH,maker,sell,1466.48894035,0.68924980,188.12,0.000689249801963412,N/A,ETH
5755729,0x8d8ec1ef84008c0daec448d9a4fae6a42977da6d49094b0a8c19cb4c9fb8fae9,2020-07-23 22:30:42,AUC/ETH,maker,sell,1752.56458065,0.81494253,224.49,0.00081494253,N/A,ETH
5752902,0x6239b95389e798fd37cac88c4377560613db466099e17a31aaa79dd62d71f5be,2020-07-23 10:43:29,AUC/ETH,maker,sell,2500,1.15,302.40,0.00115,N/A,ETH
5742094,0x25d589c0312a1117256b3f2c9833d387e694dd111c50f1f28c607fa62b3c500b,2020-07-21 14:39:22,AUC/ETH,maker,sell,2500,1.125,272.76,0.001125,N/A,ETH
5708322,0xd8c1aceebd0003e9403a2c8bac12e71eb399b89393f016c7a5e98c1c43835a4c,2020-07-16 12:02:15,AUC/ETH,maker,sell,3000,1.38,319.87,0.00138,N/A,ETH
5708316,0x2b95edb2bbd3effcd75eba6b29063be2fabe43902020304bb85ee716457751df,2020-07-16 12:02:01,AUC/ETH,maker,sell,2473.22976285,1.12531954,261.03,0.001125319542096714,N/A,ETH
5708314,0x34f4e36d5f14f22e4ff986e8e847a13e80f1ef4fb128d65e08e78db853a29e5e,2020-07-16 12:02:01,AUC/ETH,maker,sell,3800,1.7442,404.58,0.0017442,N/A,ETH
5708216,0x1c3a23cbca6b614602c0824c7f74a2d8884215b12215e19bd02fd1ff2ff838fc,2020-07-16 11:18:33,AUC/ETH,maker,sell,526.77023715,0.23968046,55.74,0.000239680457903286,N/A,ETH
5706552,0x77907adb7ccbc18eb20b8d0301dd98ff07f90728d341e0428bd4c14013185f89,2020-07-16 00:13:31,AUC/ETH,maker,sell,2737.19654529,1.15235975,274.52,0.001152359745567086,N/A,ETH
5706309,0xadc61f087d33a75aec5e2087083ec693bb4e5c110c14f705ed8e83c7b198703e,2020-07-15 23:34:33,AUC/ETH,maker,sell,1262.80345471,0.53164025,126.49,0.000531640254432914,N/A,ETH
5706308,0xceed0f7d9377d01cc35fbb3465345d90591245c84a8496d123de57d9c63e9555,2020-07-15 23:34:33,AUC/ETH,maker,sell,1115.14225135,0.46835975,111.43,0.000468359745567086,N/A,ETH
5706272,0x4a74932e257983477338c9f95d4fd1cd50ea9c79841725f82acdd743141c1fc2,2020-07-15 23:22:06,AUC/ETH,maker,sell,1884.85774865,0.79164025,188.18,0.000791640254432914,N/A,ETH
5698867,0xacb56413ec9790d5e0184a8d62d4a057463856b3035af74c66a2504db4cc33cd,2020-07-14 15:16:18,AUC/ETH,taker,sell,8300,3.486,837.26,0.006972,0.009689999999999998,ETH
5674101,0x28d7c82f37b38ba10bff863c2b7af504a6da126fa61d0d1c98563b1a9580dd4d,2020-07-08 18:15:41,AUC/ETH,maker,sell,2364.86652937,1.41891992,349.33,0.001418919917624761,N/A,ETH
