"txid","refid","time","type","aclass","asset","amount","fee","balance"
"","Q4DJGHU-TTJBTK-DMMUXC","2016-10-28 09:38:52","deposit","currency","XICN",520.0000000000,0.0000000000,""
"LJRZDK-IEHRH-3UFINF","Q4DJGHU-TTJBTK-DMMUXC","2016-10-28 09:45:29","deposit","currency","XICN",520.0000000000,0.0000000000,520.0000000000
"L4LLJJ-CMZ6M-N2GFPJ","T34GR3-SFQEZ-Q3NR53","2016-10-28 09:50:47","trade","currency","XICN",-520.0000000000,0.0000000000,0.0000000000
"LSTINM-IM5NS-HPYWHU","T34GR3-SFQEZ-Q3NR53","2016-10-28 09:50:47","trade","currency","XETH",5.8240000000,0.0151420000,5.8088580000
"","Q4DROK3-K7TCFI-5232DA","2016-10-28 10:11:03","deposit","currency","XICN",1500.0000000000,0.0000000000,""
"LYUV2P-2N4TC-MANPUD","Q4DROK3-K7TCFI-5232DA","2016-10-28 10:17:44","deposit","currency","XICN",1500.0000000000,0.0000000000,1500.0000000000
"L6VNDF-O4PUW-4Q2NYV","T7FQR6-5E4I4-7J63JI","2016-10-28 11:11:12","trade","currency","XICN",-1106.8893222600,0.0000000000,393.1106777400
"LBHP4W-RN3KH-F5P356","T7FQR6-5E4I4-7J63JI","2016-10-28 11:11:12","trade","currency","XETH",12.3860920000,0.0322040000,18.1627460000
"LL7M35-HNKRA-HZY5AP","T73BJF-U2DKB-YP56B5","2016-10-28 11:11:12","trade","currency","XICN",-266.5910000000,0.0000000000,126.5196777400
"L6IUCK-TE35J-TK5RPT","T73BJF-U2DKB-YP56B5","2016-10-28 11:11:12","trade","currency","XETH",2.9644920000,0.0077080000,21.1195300000
"LF34XI-N3KM3-HUK7MN","TNPSK4-ZCOVD-JVABBV","2016-10-28 11:11:12","trade","currency","XICN",-126.5196777400,0.0000000000,0.0000000000
"LSTIQF-TDAE6-RUBQTU","TNPSK4-ZCOVD-JVABBV","2016-10-28 11:11:12","trade","currency","XETH",1.4056340000,0.0036550000,22.5215090000
"","A2BDPCY-RZBEWA-VK3EJX","2016-10-28 11:39:03","withdrawal","currency","XETH",-22.0950000000,0.0050000000,""
"LUOSRC-YUNCC-LA75AU","A2BDPCY-RZBEWA-VK3EJX","2016-10-28 11:51:09","withdrawal","currency","XETH",-22.0950000000,0.0050000000,0.4215090000
"","Q4D6REY-CSUEOK-ORKNOA","2016-11-03 15:31:05","deposit","currency","XICN",2500.2314899300,0.0000000000,""
"L45T3X-KOGFF-CDRBA5","Q4D6REY-CSUEOK-ORKNOA","2016-11-03 15:43:31","deposit","currency","XICN",2500.2314899300,0.0000000000,2500.2314899300
"LBQ7D6-TT7LQ-6RWALX","TTMLIK-NZI6K-YG5BBY","2016-11-03 15:45:57","trade","currency","XICN",-1383.0309286400,0.0000000000,1117.2005612900
"LTYDZR-SW42F-NOHT33","TTMLIK-NZI6K-YG5BBY","2016-11-03 15:45:57","trade","currency","XETH",16.8729770000,0.0438690000,17.2506170000
"LMMLTU-V43JZ-SEI3IE","TYG2XR-JPMX7-FYXL52","2016-11-03 15:45:57","trade","currency","XICN",-116.9690713600,0.0000000000,1000.2314899300
"LJ2N46-GBEXG-G5AY6F","TYG2XR-JPMX7-FYXL52","2016-11-03 15:45:57","trade","currency","XETH",1.4235140000,0.0037010000,18.6704300000
"","A2B4EJB-6ZWZE6-6PWCUR","2016-11-11 00:27:31","withdrawal","currency","XETH",-17.6654300000,0.0050000000,""
"LZHDN5-MYBUP-KWQASL","A2B4EJB-6ZWZE6-6PWCUR","2016-11-11 00:37:04","withdrawal","currency","XETH",-17.6654300000,0.0050000000,1.0000000000
"","Q2CKZXM-JJWYS7-4J3XOM","2016-11-14 15:47:50","deposit","currency","XETH",16.9889150000,0.0000000000,""
"LCBFVU-Z2FJY-WF2RZR","Q2CKZXM-JJWYS7-4J3XOM","2016-11-14 15:48:01","deposit","currency","XETH",16.9889150000,0.0000000000,17.9889150000
"L625RA-LXCFL-QKD2FF","TMAWCW-IPESD-VQOSCD","2016-11-14 19:22:26","trade","currency","XREP",37.5284222600,0.0000000000,37.5284222600
"LSK5J7-CVK4Z-NEECGJ","TMAWCW-IPESD-VQOSCD","2016-11-14 19:22:26","trade","currency","XETH",-17.0000000000,0.0442000000,0.9447150000
"LNI5LL-5TGRE-322CPK","TMMO6T-GADZK-ZEAG4Q","2017-01-09 19:22:09","trade","currency","XICN",-1000.0000000000,0.2314899300,0.0000000000
"LAF2J7-WWNEK-6RHKNO","TMMO6T-GADZK-ZEAG4Q","2017-01-09 19:22:09","trade","currency","XETH",33.1300000000,0.0784690000,33.9962460000
"","A2BA2NV-GWMQ3D-NXGWLF","2017-02-10 15:53:51","withdrawal","currency","XETH",-32.9950000000,0.0050000000,""
"LMY77C-PA2K3-O3ZD3H","A2BA2NV-GWMQ3D-NXGWLF","2017-02-10 16:01:23","withdrawal","currency","XETH",-32.9950000000,0.0050000000,0.9962460000
"","Q4EXK5F-65QEWQ-RME5RC","2017-03-15 11:32:37","deposit","currency","XMLN",10.0000000000,0.0000000000,""
"L6GUUE-OEHLD-6DZDVS","Q4EXK5F-65QEWQ-RME5RC","2017-03-15 11:39:09","deposit","currency","XMLN",10.0000000000,0.0000000000,10.0000000000
"","Q4E3JNI-5UODGT-P2RNQA","2017-03-15 11:51:54","deposit","currency","XMLN",31.0000000000,0.0000000000,""
"LIUMAO-E4PKM-QJ4JTN","Q4E3JNI-5UODGT-P2RNQA","2017-03-15 11:59:32","deposit","currency","XMLN",31.0000000000,0.0000000000,41.0000000000
"LINORO-OX7VC-IGIZLN","TJ7TUV-2OPGL-N6547H","2017-03-30 07:57:22","trade","currency","XMLN",-0.3711000000,0.0000000000,40.6289000000
"LIFZDD-IQ3RS-KAD4X3","TJ7TUV-2OPGL-N6547H","2017-03-30 07:57:22","trade","currency","XXBT",0.0112450700,0.0000292400,0.0112158300
"LVQ3WC-S2DKR-ZX73V2","TVVVIN-T4LFD-GZC7AA","2017-03-30 07:57:22","trade","currency","XMLN",-9.6289000000,0.0000000000,31.0000000000
"LDF3CN-DHVQY-6QW7ZI","TVVVIN-T4LFD-GZC7AA","2017-03-30 07:57:22","trade","currency","XXBT",0.2917556700,0.0007585600,0.3022129400
"","AGBI346-BWCUN4-ODOBYN","2017-03-30 08:05:05","withdrawal","currency","XXBT",-0.2995000000,0.0005000000,""
"LTXSCA-JCORI-5REEME","AGBI346-BWCUN4-ODOBYN","2017-03-30 08:13:32","withdrawal","currency","XXBT",-0.2995000000,0.0005000000,0.0022129400
"","A4CFGET-YQAQO5-6PYLRM","2017-04-30 09:02:04","withdrawal","currency","XREP",-17.5184200000,0.0100000000,""
"LHLGTQ-US2IN-MJKAMS","A4CFGET-YQAQO5-6PYLRM","2017-04-30 09:14:30","withdrawal","currency","XREP",-17.5184200000,0.0100000000,20.0000022600
"LKMNJW-Z6BFQ-R4ECYW","TEX7K6-PBMVQ-O6AYZI","2017-05-23 19:56:17","trade","currency","XREP",-10.0000000000,0.0259974700,9.9740047900
"LZJXZN-XQ3DW-B7I3CG","TEX7K6-PBMVQ-O6AYZI","2017-05-23 19:56:17","trade","currency","XETH",1.7444000000,0.0000000000,2.7406460000
"LYOUF7-UVNGM-SOS76I","TGYAY4-PE5MD-VF5CWS","2017-06-05 10:22:29","trade","currency","XMLN",-9.0633000000,0.0235728400,21.9131271600
"L5ZYUR-XHMHH-R6Q654","TGYAY4-PE5MD-VF5CWS","2017-06-05 10:22:29","trade","currency","XETH",2.3248270800,0.0000000000,5.0654730800
"LR6K5J-EDSCK-YK5VZV","TS2JDH-UGHHP-GEIWGZ","2017-06-05 10:22:29","trade","currency","XMLN",-0.9367000000,0.0024354100,20.9739917500
"LH3GYG-3EEOH-N4DK65","TS2JDH-UGHHP-GEIWGZ","2017-06-05 10:22:29","trade","currency","XETH",0.2401886100,0.0000000000,5.3056616900
"","A2BBNFH-SNUVH5-4P6Z56","2017-06-12 13:21:01","withdrawal","currency","XETH",-4.9950000000,0.0050000000,""
"LBIJN4-ANS2Z-LHRRO6","A2BBNFH-SNUVH5-4P6Z56","2017-06-12 13:42:23","withdrawal","currency","XETH",-4.9950000000,0.0050000000,0.3056616900
"LED3AL-6TC2M-GBNSZN","LA2B7C7-ASPR3-HNHIIX","2017-08-01 16:04:12","transfer","currency","BCH",0.0022129400,0.0000000000,0.0022129400
"","QGBJSRA-2KKQO3-UHGCZO","2017-10-22 10:47:37","deposit","currency","XXBT",0.5000000000,0.0000000000,""
"","QGBKYNT-VXKWV2-LCEJEQ","2017-10-22 11:48:42","deposit","currency","XXBT",1.0000000000,0.0000000000,""
"LLWFN4-P7B32-VEMPYT","QGBJSRA-2KKQO3-UHGCZO","2017-10-22 11:59:09","deposit","currency","XXBT",0.5000000000,0.0000000000,0.5022129400
"LEO7CS-KYEKA-IRFGZX","QGBKYNT-VXKWV2-LCEJEQ","2017-10-22 12:42:44","deposit","currency","XXBT",1.0000000000,0.0000000000,1.5022129400
"LVQ5FR-JIINJ-6FVMVC","THDAYY-52RC3-LXIE52","2017-10-22 13:26:58","trade","currency","XXBT",-0.0326833400,0.0000000000,1.4695296000
"LFEYB3-MZ57U-J5YVD5","THDAYY-52RC3-LXIE52","2017-10-22 13:26:58","trade","currency","ZEUR",162.9591,0.4237,162.5354
"LWUFDU-XO2VR-UK5G2Z","TSVWJT-4KYOK-S5672P","2017-10-22 13:26:59","trade","currency","XXBT",-0.0092030600,0.0000000000,1.4603265400
"LAZUM4-F4NUD-5CTYHY","TSVWJT-4KYOK-S5672P","2017-10-22 13:26:59","trade","currency","ZEUR",45.8791,0.1193,208.2952
"LC4KNZ-TAYAJ-HLIUNZ","TI3JYC-LSSQ2-Z3E6MI","2017-10-22 13:27:18","trade","currency","XXBT",-0.0297017200,0.0000000000,1.4306248200
"LI3552-LCQ3H-CRHKIE","TI3JYC-LSSQ2-Z3E6MI","2017-10-22 13:27:18","trade","currency","ZEUR",148.0660,0.2369,356.1243
"LDSLO5-QZY5G-HUJWHB","TYLNIW-SZAWV-XSUFYE","2017-10-22 13:27:23","trade","currency","XXBT",-0.0026000000,0.0000000000,1.4280248200
"L7L6AG-PWQXC-HCBO7D","TYLNIW-SZAWV-XSUFYE","2017-10-22 13:27:23","trade","currency","ZEUR",12.9613,0.0207,369.0649
"LPPOJG-UNXGX-VKOQVQ","T2HFKM-VCHQY-UKCL2A","2017-10-22 13:27:35","trade","currency","XXBT",-0.0470000000,0.0000000000,1.3810248200
"LOIPH5-LFHG6-DKB3I7","T2HFKM-VCHQY-UKCL2A","2017-10-22 13:27:36","trade","currency","ZEUR",234.2997,0.3749,602.9897
"LXZ5TI-RDS4G-K4JY7D","TV22DT-Z76QQ-MYY73F","2017-10-22 13:27:36","trade","currency","XXBT",-0.0110000000,0.0000000000,1.3700248200
"LF2O7U-IYWGB-PSEBST","TV22DT-Z76QQ-MYY73F","2017-10-22 13:27:36","trade","currency","ZEUR",54.8361,0.0877,657.7381
"L5KLPT-S5BPQ-DLVBJJ","TOXHGH-FRD7Z-NJ5L3S","2017-10-22 13:27:47","trade","currency","XXBT",-0.0460611000,0.0000000000,1.3239637200
