txid,refid,time,type,aclass,asset,amount,fee,balance
L4LLJJ-CMZ6M-N2GFPJ,T34GR3-SFQEZ-Q3NR53,2016-10-28 09:50:47,trade,currency,XICN,-520,0,0
LSTINM-IM5NS-HPYWHU,T34GR3-SFQEZ-Q3NR53,2016-10-28 09:50:47,trade,currency,XETH,5.824,0.015142,5.808858
L6VNDF-O4PUW-4Q2NYV,T7FQR6-5E4I4-7J63JI,2016-10-28 11:11:12,trade,currency,XICN,-1106.88932226,0,393.11067774
LBHP4W-RN3KH-F5P356,T7FQR6-5E4I4-7J63JI,2016-10-28 11:11:12,trade,currency,XETH,12.386092,0.032204,18.162746
LL7M35-HNKRA-HZY5AP,T73BJF-U2DKB-YP56B5,2016-10-28 11:11:12,trade,currency,XICN,-266.591,0,126.51967774
L6IUCK-TE35J-TK5RPT,T73BJF-U2DKB-YP56B5,2016-10-28 11:11:12,trade,currency,XETH,2.964492,0.007708,21.11953
LF34XI-N3KM3-HUK7MN,TNPSK4-ZCOVD-JVABBV,2016-10-28 11:11:12,trade,currency,XICN,-126.51967774,0,0
LSTIQF-TDAE6-RUBQTU,TNPSK4-ZCOVD-JVABBV,2016-10-28 11:11:12,trade,currency,XETH,1.405634,0.003655,22.521509
LBQ7D6-TT7LQ-6RWALX,TTMLIK-NZI6K-YG5BBY,2016-11-03 15:45:57,trade,currency,XICN,-1383.03092864,0,1117.20056129
LTYDZR-SW42F-NOHT33,TTMLIK-NZI6K-YG5BBY,2016-11-03 15:45:57,trade,currency,XETH,16.872977,0.043869,17.250617
LMMLTU-V43JZ-SEI3IE,TYG2XR-JPMX7-FYXL52,2016-11-03 15:45:57,trade,currency,XICN,-116.96907136,0,1000.23148993
LJ2N46-GBEXG-G5AY6F,TYG2XR-JPMX7-FYXL52,2016-11-03 15:45:57,trade,currency,XETH,1.423514,0.003701,18.67043
L625RA-LXCFL-QKD2FF,TMAWCW-IPESD-VQOSCD,2016-11-14 19:22:26,trade,currency,XREP,37.52842226,0,37.52842226
LSK5J7-CVK4Z-NEECGJ,TMAWCW-IPESD-VQOSCD,2016-11-14 19:22:26,trade,currency,XETH,-17,0.0442,0.944715
LNI5LL-5TGRE-322CPK,TMMO6T-GADZK-ZEAG4Q,2017-01-09 19:22:09,trade,currency,XICN,-1000,0.23148993,0
LAF2J7-WWNEK-6RHKNO,TMMO6T-GADZK-ZEAG4Q,2017-01-09 19:22:09,trade,currency,XETH,33.13,0.078469,33.996246
LINORO-OX7VC-IGIZLN,TJ7TUV-2OPGL-N6547H,2017-03-30 07:57:22,trade,currency,XMLN,-0.3711,0,40.6289
LIFZDD-IQ3RS-KAD4X3,TJ7TUV-2OPGL-N6547H,2017-03-30 07:57:22,trade,currency,XXBT,0.01124507,2.924E-05,0.01121583
LVQ3WC-S2DKR-ZX73V2,TVVVIN-T4LFD-GZC7AA,2017-03-30 07:57:22,trade,currency,XMLN,-9.6289,0,31
LDF3CN-DHVQY-6QW7ZI,TVVVIN-T4LFD-GZC7AA,2017-03-30 07:57:22,trade,currency,XXBT,0.29175567,0.00075856,0.30221294
LKMNJW-Z6BFQ-R4ECYW,TEX7K6-PBMVQ-O6AYZI,2017-05-23 19:56:17,trade,currency,XREP,-10,0.02599747,9.97400479
