#,PAIR,AMOUNT,PRICE,FEE,FEE CURRENCY,DATE,ORDER ID
370460096,BTC/USD,0.10140635,10922.87407198,-0.00020281,BTC,24-06-19 19:45:31,27228978405
370459579,ENJ/USD,-116.94746144,0.1333,-0.0155891,USD,24-06-19 19:42:25,27228876478
370459580,ENJ/USD,-30,0.13309,-0.0039927,USD,24-06-19 19:42:25,27228876478
370459581,ENJ/USD,-200,0.13308,-0.053232,USD,24-06-19 19:42:25,27228876478
370459582,ENJ/USD,-72.60596053,0.13305,-0.01932045,USD,24-06-19 19:42:25,27228876478
370459583,ENJ/USD,-402.93122888,0.13305,-0.10722,USD,24-06-19 19:42:25,27228876478
370459584,ENJ/USD,-334.83458647,0.133,-0.089066,USD,24-06-19 19:42:25,27228876478
370459585,ENJ/USD,-7103.36476267,0.13178,-0.93608141,USD,24-06-19 19:42:25,27228876478
369315965,ETH/BTC,-0.2110548,0.028696,-0.00001211,BTC,22-06-19 07:57:21,27090577494
369312788,BTT/USD,-4599.92751395,0.0013111,-0.01206193,USD,22-06-19 07:36:47,27089865100
369312254,ETH/USD,0.2,307.19,-0.0004,ETH,22-06-19 07:32:49,27089743050
369311672,ETH/USD,0.02,307.04,-0.00002,ETH,22-06-19 07:28:42,27089608745
369311571,BAB/USD,-0.17997506,446.97,-0.08044345,USD,22-06-19 07:27:55,27089371771
369309338,BTT/BTC,2776,1.3e-7,-5.552,BTT,22-06-19 07:17:28,27089218165
369309130,BTC/USD,0.00234095,10754.89869108,-0.00000468,BTC,22-06-19 07:16:07,27089170352
369309132,BTC/USD,0.00286788,10754.89869108,-0.00000574,BTC,22-06-19 07:16:07,27089170352
369309134,BTC/USD,0.03688173,10755,-0.00007376,BTC,22-06-19 07:16:07,27089170352
369308942,TRX/USD,-6468.74276064,0.034582,-0.22370206,USD,22-06-19 07:15:13,27088276865
369308261,TRX/USD,-140,0.034582,-0.00484148,USD,22-06-19 07:11:52,27088276865
369308003,TRX/USD,-4356.7988512,0.034582,-0.15066682,USD,22-06-19 07:10:25,27088276865
369304794,TRX/USD,-2137.724,0.034582,-0.07392677,USD,22-06-19 06:54:14,27088276865
318213561,TRX/USD,13116.37876678,0.01515,-13.11637877,TRX,28-11-18 21:30:04,19626502045
318213565,TRX/USD,0.00322706,0.01515,-0.00000323,TRX,28-11-18 21:30:04,19626502045
318211645,LTC/USD,-0.55985102,35.132,-0.03933737,USD,28-11-18 21:22:39,19626280632
318211575,LTC/USD,0.4,35.199,-0.0008,LTC,28-11-18 21:22:27,19626275626
318211360,GNT/USD,-830,0.090023,-0.07471909,USD,28-11-18 21:21:51,19626255104
318211202,SNT/USD,-4878.23547995,0.020587,-0.20085647,USD,28-11-18 21:21:43,19626249533
180945606,ZRX/USD,-10,1.831,-0.01831,USD,29-01-18 18:32:40,7689988098
180945188,LTC/USD,0.11224274,182.2,-0.00011224,LTC,29-01-18 18:31:05,7689944273
178150045,FUN/USD,-199.8,0.10236,-0.02045153,USD,25-01-18 10:24:34,7532152724
178089153,LTC/USD,0.24438345,180.42,-0.00048877,LTC,25-01-18 08:27:27,7532539639
178088983,MNA/USD,-300,0.14527,-0.043581,USD,25-01-18 08:27:09,7532147331
178088815,LTC/USD,8.19705637,180.43,-0.01639411,LTC,25-01-18 08:26:50,7532522377
178085571,IOT/USD,-200,2.431,-0.9724,USD,25-01-18 08:20:45,7532352292
178082548,BAT/USD,-100,0.544,-0.0544,USD,25-01-18 08:17:57,7532140323
178081651,SPK/USD,-57.35157061,0.43979,-0.02522265,USD,25-01-18 08:16:20,7532163658
178081012,ETP/USD,-182.37607274,2.4931,-0.45468179,USD,25-01-18 08:15:14,7532102042
178080074,QSH/USD,-185.03273644,1.4825,-0.27431103,USD,25-01-18 08:13:16,7532108198
178080005,QSH/USD,-93,1.4825,-0.1378725,USD,25-01-18 08:13:10,7532108198
178079750,QSH/USD,-32.95004748,1.4825,-0.04884845,USD,25-01-18 08:12:54,7532108198
159120132,MNA/USD,300,0.25,-0.075,USD,09-01-18 10:46:08,6989417010
159120107,BAT/USD,100,0.85,-0.085,USD,09-01-18 10:46:07,6989395034
159110291,FUN/USD,200,0.18,-0.2,FUN,09-01-18 10:40:31,6989428139
159104153,SPK/USD,57.40897959,0.49,-0.05740898,SPK,09-01-18 10:35:41,6989464987
159087479,ZRX/USD,10,2.26,-0.0226,USD,09-01-18 10:19:23,6989444991
159081993,OMG/USD,-10,24.7,-0.247,USD,09-01-18 10:15:37,6989342904
144727209,SNT/USD,235.11859855,0.145,-0.2351186,SNT,28-12-17 15:49:37,6615026298
144726673,SNT/USD,4648,0.145,-4.648,SNT,28-12-17 15:49:08,6615026298
