Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee,Fee Currency,Fee Total
2018-01-02 15:17:51,FCT/BTC,Exchange,Sell,0.00486000,80.59805814,0.39170656,0.15%,114572247221,0.39111900,-80.59805814,BTC,0.00058755
2018-01-02 08:30:45,FCT/BTC,Exchange,Buy,0.00515600,50.29751257,0.25933397,0.15%,114528974537,-0.25933397,50.22206630,FCT,0.00038900
2018-01-02 08:28:29,FCT/BTC,Exchange,Buy,0.00515600,10.35930501,0.05341257,0.15%,114528974537,-0.05341257,10.34376605,FCT,0.00008011
2018-01-02 08:28:17,FCT/BTC,Exchange,Buy,0.00515523,4.46148862,0.02299999,0.25%,114528974537,-0.02299999,4.45033489,FCT,0.00005749
2018-01-02 08:28:17,FCT/BTC,Exchange,Buy,0.00515523,15.62094322,0.08052955,0.25%,114528974537,-0.08052955,15.58189086,FCT,0.00020132
2018-01-02 08:08:51,EMC2/BTC,Exchange,Sell,0.00007520,4502.09519384,0.33855755,0.15%,14463785764,0.33804971,-4502.09519384,BTC,0.00050783
2018-01-02 08:08:49,EMC2/BTC,Exchange,Sell,0.00007520,1038.09924832,0.07806506,0.15%,14463785764,0.07794796,-1038.09924832,BTC,0.00011709
2018-01-01 07:43:11,EMC2/BTC,Exchange,Buy,0.00006950,3017.15136884,0.20969202,0.15%,14370173470,-0.20969202,3012.62564178,EMC2,0.00031453
2018-01-01 07:43:10,EMC2/BTC,Exchange,Buy,0.00006950,459.22106367,0.03191586,0.15%,14370173470,-0.03191586,458.53223207,EMC2,0.00004787
2018-01-01 07:43:08,EMC2/BTC,Exchange,Buy,0.00006950,8.34810000,0.00058019,0.15%,14370173470,-0.00058019,8.33557785,EMC2,0.00000087
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006950,500.00000000,0.03475000,0.25%,14370173470,-0.03475000,498.75000000,EMC2,0.00008687
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006950,20.00000000,0.00139000,0.25%,14370173470,-0.00139000,19.95000000,EMC2,0.00000347
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006950,682.97966683,0.04746708,0.25%,14370173470,-0.04746708,681.27221766,EMC2,0.00011866
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006948,9.53605540,0.00066256,0.25%,14370173470,-0.00066256,9.51221526,EMC2,0.00000165
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006920,144.50867053,0.01000000,0.25%,14370173470,-0.01000000,144.14739885,EMC2,0.00002500
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006920,599.96086675,0.04151729,0.25%,14370173470,-0.04151729,598.46096458,EMC2,0.00010379
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006890,9.13039503,0.00062908,0.25%,14370173470,-0.00062908,9.10756904,EMC2,0.00000157
2018-01-01 07:43:06,EMC2/BTC,Exchange,Buy,0.00006885,99.75000000,0.00686778,0.25%,14370173470,-0.00686778,99.50062500,EMC2,0.00001716
2017-12-31 16:56:37,ETH/BTC,Exchange,Sell,0.05255907,1.56957195,0.08249524,0.15%,396189848713,0.08237149,-1.56957195,BTC,0.00012374
2017-12-31 16:56:22,ETH/BTC,Exchange,Sell,0.05255907,5.78111477,0.30385001,0.15%,396189848713,0.30339423,-5.78111477,BTC,0.00045577
2017-12-30 14:10:56,XRP/BTC,Exchange,Sell,0.00016080,376.81036781,0.06059110,0.15%,106041097872,0.06050021,-376.81036781,BTC,0.00009088
2017-12-30 11:01:47,XRP/BTC,Exchange,Buy,0.00016078,215.21789988,0.03460273,0.15%,105991755264,-0.03460273,214.89507303,XRP,0.00005190
2017-12-30 11:01:45,XRP/BTC,Exchange,Buy,0.00016051,162.32109751,0.02605415,0.25%,105991755264,-0.02605415,161.91529476,XRP,0.00006513
2017-12-30 10:59:39,XRP/BTC,Exchange,Sell,0.00016301,209.95638994,0.03422499,0.25%,105990706314,0.03413942,-209.95638994,BTC,0.00008556
2017-12-30 10:59:39,XRP/BTC,Exchange,Sell,0.00016303,163.03511329,0.02657961,0.25%,105990706314,0.02651316,-163.03511329,BTC,0.00006644
2017-12-30 10:49:12,XRP/BTC,Exchange,Buy,0.00016292,233.92631902,0.03811127,0.25%,105983674353,-0.03811127,233.34150322,XRP,0.00009527
2017-12-30 10:49:12,XRP/BTC,Exchange,Buy,0.00016279,140.00000000,0.02279060,0.25%,105983674353,-0.02279060,139.65000000,XRP,0.00005697
2017-12-30 00:55:58,ETH/BTC,Exchange,Buy,0.05120000,2.09787141,0.10741101,0.15%,395422258072,-0.10741101,2.09472460,ETH,0.00016111
2017-12-30 00:55:50,ETH/BTC,Exchange,Buy,0.05120000,5.26385789,0.26950952,0.15%,395422258072,-0.26950952,5.25596210,ETH,0.00040426
2017-12-30 00:52:29,XRP/BTC,Exchange,Sell,0.00015200,2458.56026868,0.37370116,0.15%,105552732726,0.37314060,-2458.56026868,BTC,0.00056055
2017-12-30 00:49:49,XRP/BTC,Exchange,Buy,0.00015200,64.85978000,0.00985868,0.25%,105549349113,-0.00985868,64.69763055,XRP,0.00002464
2017-12-30 00:49:49,XRP/BTC,Exchange,Buy,0.00015200,2272.86142411,0.34547493,0.25%,105549349113,-0.34547493,2267.17927054,XRP,0.00086368
2017-12-30 00:49:49,XRP/BTC,Exchange,Buy,0.00015193,127.00086975,0.01929524,0.25%,105549349113,-0.01929524,126.68336757,XRP,0.00004823
2017-12-30 00:48:03,ETH/BTC,Exchange,Sell,0.05130000,7.39487645,0.37935716,0.25%,395419747585,0.37840876,-7.39487645,BTC,0.00094839
2017-12-30 00:24:05,ETH/BTC,Exchange,Buy,0.05115058,2.33919399,0.11965112,0.15%,395410617724,-0.11965112,2.33568519,ETH,0.00017947
2017-12-30 00:23:27,ETH/BTC,Exchange,Buy,0.05115058,5.06679104,0.25916930,0.15%,395410617724,-0.25916930,5.05919085,ETH,0.00038875
